customer_id,company_name,signup_date,country,industry,company_size,acquisition_channel,sales_region
C00045,Next Networks,2024-06-24,UK,Retail,Small,Paid Search,Europe
C00046,Digital Solutions,2024-02-05,Australia,Education,Medium,Partner,APAC
C00047,Prime Services,2025-04-15,USA,Finance,Small,Referral,North America
C00048,Vertex Networks,2025-11-28,India,Retail,Medium,Organic Search,APAC
C00049,Digital Works,2024-02-23,India,Retail,Large,Paid Search,APAC
C00050,Summit Analytics,2024-04-12,USA,Technology,Medium,Paid Social,North America
C00051,Prime Networks,2025-10-17,Other,Finance,Small,Partner,Other
C00052,Blue Labs,2024-12-11,USA,Other,Large,Referral,North America
C00053,Apex Analytics,2024-02-27,Singapore,Healthcare,Small,Organic Search,APAC
C00054,Bright Software,2024-08-24,USA,Other,Medium,Referral,North America
C00055,Digital Works,2024-03-16,UK,Technology,Small,Paid Search,Europe
C00056,Fusion Networks,2024-02-16,USA,Manufacturing,Medium,Paid Social,North America
C00057,Fusion Networks,2025-03-07,Australia,Retail,Medium,Referral,APAC
C00058,Cloud Analytics,2024-04-09,USA,Healthcare,Medium,Paid Social,North America
C00059,Digital Systems,2024-11-20,Canada,Education,Large,Email Marketing,North America
C00060,Core Works,2025-10-25,Canada,Finance,Small,Sales,North America
C00061,Digital Technologies,2024-09-24,India,Other,Large,Organic Search,APAC
C00062,Fusion Networks,2024-09-09,USA,Education,Small,Paid Search,North America
C00063,Nova Analytics,2025-08-24,USA,Retail,Medium,Referral,North America
C00064,Next Solutions,2025-02-23,India,Other,Medium,Paid Search,APAC
C00065,Summit Works,2025-11-19,Canada,Technology,Small,Referral,North America
C00066,Cloud Systems,2025-01-03,Canada,Professional Services,Small,Paid Search,North America
C00067,Prime Services,2024-12-07,USA,Technology,Small,Email Marketing,North America
C00068,Blue Works,2025-03-30,Other,Education,Medium,Paid Social,Other
C00069,Apex Software,2024-04-08,UK,Finance,Small,Email Marketing,Europe
C00070,Prime Software,2024-04-18,Other,Other,Enterprise,Organic Search,Other
C00071,Cloud Group,2024-08-22,Canada,Other,Medium,Sales,North America
C00072,Nova Works,2025-06-02,India,Retail,Small,Sales,APAC
C00073,Vertex Labs,2024-01-29,USA,Other,Small,Paid Search,North America
C00074,Prime Group,2025-05-25,Singapore,Education,Small,Partner,APAC
C00075,Nova Networks,2024-06-15,India,Marketing,Small,Paid Social,APAC
C00076,Digital Services,2025-10-21,USA,Technology,Medium,Partner,North America
C00077,Fusion Works,2024-07-09,India,Technology,Medium,Paid Social,APAC
C00078,Vertex Services,2024-03-20,India,Other,Small,Referral,APAC
C00079,Bright Group,2025-02-05,USA,Retail,Small,Email Marketing,North America
C00080,Next Group,2024-09-15,Singapore,Technology,Small,Email Marketing,APAC
C00081,Fusion Technologies,2025-02-11,UK,Retail,Small,Paid Social,Europe
C00082,Cloud Services,2025-06-23,USA,Other,Enterprise,Referral,North America
C00083,Nova Solutions,2025-04-05,Canada,Technology,Large,Sales,North America
C00084,Core Works,2024-09-12,UK,Marketing,Small,Sales,Europe
C00085,Core Works,2024-04-28,India,Professional Services,Medium,Email Marketing,APAC
C00086,Nova Services,2024-10-08,India,Other,Large,Sales,APAC
C00087,Blue Works,2024-04-08,USA,Technology,Small,Referral,North America
C00088,Blue Services,2025-03-12,UK,Professional Services,Medium,Paid Search,Europe
C00089,Nova Analytics,2024-01-01,Other,Education,Small,Referral,Other
C00090,Digital Labs,2025-07-04,Canada,Finance,Medium,Paid Social,North America
C00091,Summit Works,2024-02-23,Other,Technology,Medium,Referral,Other
C00092,Nova Technologies,2025-07-31,Australia,Marketing,Medium,Email Marketing,APAC
C00093,Next Software,2024-11-30,India,Marketing,Small,Paid Social,APAC
C00094,Fusion Labs,2024-04-15,Germany,Marketing,Small,Email Marketing,Europe
C00095,Core Solutions,2025-05-22,USA,Technology,Medium,Paid Search,North America
C00096,Next Systems,2024-04-20,USA,Technology,Small,Organic Search,North America
C00097,Nova Networks,2024-12-25,Canada,Healthcare,Large,Paid Social,North America
C00098,Blue Group,2024-02-20,USA,Technology,Small,Organic Search,North America
C00099,Fusion Services,2025-05-27,India,Healthcare,Large,Organic Search,APAC
C00100,Cloud Networks,2024-09-05,India,Education,Medium,Organic Search,APAC
C00101,Next Group,2024-09-13,USA,Education,Enterprise,Paid Social,North America
C00102,Core Analytics,2025-06-09,UK,Healthcare,Medium,Partner,Europe
C00103,Nova Networks,2024-01-07,Canada,Manufacturing,Medium,Organic Search,North America
C00104,Cloud Software,2024-01-15,USA,Professional Services,Small,Referral,North America
C00105,Vertex Networks,2024-03-26,USA,Technology,Large,Referral,North America
C00106,Next Analytics,2024-03-07,UK,Finance,Medium,Partner,Europe
C00107,Nova Analytics,2025-01-03,UK,Healthcare,Small,Sales,Europe
C00108,Bright Group,2024-11-10,Other,Education,Small,Organic Search,Other
C00109,Next Software,2025-05-17,India,Manufacturing,Small,Sales,APAC
C00110,Bright Technologies,2024-05-16,USA,Finance,Small,Email Marketing,North America
C00111,Next Group,2025-04-12,Other,Manufacturing,Large,Paid Search,Other
C00112,Digital Works,2025-07-27,Other,Finance,Medium,Paid Search,Other
C00113,Digital Labs,2024-11-21,Other,Professional Services,Small,Partner,Other
C00114,Core Solutions,2024-03-30,Australia,Technology,Medium,Email Marketing,APAC
C00115,Nova Analytics,2025-11-03,India,Healthcare,Medium,Paid Social,APAC
C00116,Next Group,2025-10-03,USA,Technology,Small,Organic Search,North America
C00117,Blue Analytics,2025-02-22,USA,Marketing,Large,Email Marketing,North America
C00118,Bright Analytics,2025-04-03,Other,Technology,Small,Partner,Other
C00119,Core Networks,2024-08-16,USA,Technology,Small,Sales,North America
C00120,Summit Analytics,2025-07-27,India,Marketing,Small,Sales,APAC
C00121,Cloud Services,2025-06-09,Singapore,Education,Medium,Paid Social,APAC
C00122,Prime Software,2024-05-24,Singapore,Healthcare,Medium,Sales,APAC
C00123,Cloud Systems,2024-07-16,Other,Education,Small,Organic Search,Other
C00124,Blue Software,2025-04-22,Singapore,Professional Services,Small,Paid Search,APAC
C00125,Cloud Group,2024-10-15,USA,Finance,Medium,Sales,North America
C00126,Next Works,2024-06-07,India,Healthcare,Medium,Paid Social,APAC
C00127,Prime Systems,2024-06-05,USA,Professional Services,Medium,Referral,North America
C00128,Next Group,2024-10-18,Canada,Education,Large,Email Marketing,North America
C00129,Next Technologies,2024-05-13,India,Healthcare,Large,Organic Search,APAC
C00130,Blue Analytics,2025-09-14,Canada,Education,Small,Sales,North America
C00131,Next Services,2024-05-06,USA,Finance,Medium,Paid Search,North America
C00132,Summit Services,2025-02-10,USA,Retail,Small,Organic Search,North America
C00133,Apex Works,2024-01-01,Germany,Finance,Medium,Paid Search,Europe
C00134,Vertex Services,2024-05-16,USA,Professional Services,Medium,Organic Search,North America
C00135,Cloud Solutions,2025-08-24,Singapore,Retail,Small,Partner,APAC
C00136,Cloud Group,2024-06-30,USA,Finance,Small,Sales,North America
C00137,Cloud Systems,2025-10-27,USA,Education,Small,Email Marketing,North America
C00138,Summit Solutions,2025-09-21,Germany,Finance,Small,Paid Search,Europe
C00139,Next Solutions,2024-11-13,USA,Technology,Small,Paid Social,North America
C00140,Cloud Technologies,2024-01-18,USA,Professional Services,Medium,Paid Social,North America
C00141,Summit Solutions,2024-08-09,UK,Technology,Small,Sales,Europe
C00142,Nova Software,2025-04-02,Singapore,Finance,Large,Email Marketing,APAC
C00143,Next Group,2024-12-14,India,Finance,Small,Organic Search,APAC
C00144,Prime Analytics,2024-08-26,UK,Marketing,Medium,Partner,Europe
C00145,Bright Works,2024-03-18,UK,Manufacturing,Enterprise,Email Marketing,Europe
C00146,Prime Systems,2024-01-07,UK,Professional Services,Large,Organic Search,Europe
C00147,Fusion Technologies,2024-10-11,India,Marketing,Large,Paid Search,APAC
C00148,Apex Technologies,2025-04-15,USA,Manufacturing,Small,Partner,North America
C00149,Fusion Analytics,2024-02-22,USA,Marketing,Medium,Organic Search,North America
C00150,Apex Analytics,2024-02-28,Singapore,Manufacturing,Small,Organic Search,APAC
C00151,Fusion Networks,2024-08-24,India,Retail,Medium,Paid Search,APAC
C00152,Blue Networks,2024-01-29,USA,Retail,Small,Sales,North America
C00153,Digital Software,2024-12-21,India,Technology,Small,Paid Social,APAC
C00154,Next Technologies,2025-09-20,USA,Technology,Large,Sales,North America
C00155,Blue Networks,2024-09-24,UK,Finance,Medium,Sales,Europe
C00156,Vertex Solutions,2025-07-11,USA,Technology,Medium,Organic Search,North America
C00157,Summit Analytics,2024-01-29,India,Retail,Small,Partner,APAC
C00158,Next Labs,2024-08-14,Other,Healthcare,Enterprise,Organic Search,Other
C00159,Core Technologies,2025-07-01,India,Technology,Large,Sales,APAC
C00160,Apex Analytics,2024-07-19,Australia,Technology,Small,Partner,APAC
C00161,Prime Group,2024-02-11,India,Technology,Small,Organic Search,APAC
C00162,Fusion Services,2025-06-07,India,Technology,Large,Organic Search,APAC
C00163,Blue Labs,2025-05-11,USA,Finance,Large,Partner,North America
C00164,Core Networks,2025-04-29,Canada,Manufacturing,Small,Paid Social,North America
C00165,Summit Networks,2025-05-03,Other,Technology,Medium,Email Marketing,Other
C00166,Next Technologies,2024-03-26,Singapore,Technology,Medium,Paid Search,APAC
C00167,Fusion Software,2025-04-21,India,Manufacturing,Large,Paid Search,APAC
C00168,Prime Works,2024-09-29,UK,Healthcare,Medium,Paid Social,Europe
C00169,Cloud Systems,2024-06-19,USA,Professional Services,Small,Paid Search,North America
C00170,Digital Technologies,2024-12-14,UK,Professional Services,Medium,Paid Search,Europe
C00171,Nova Solutions,2024-11-06,India,Other,Small,Organic Search,APAC
C00172,Digital Services,2024-02-08,USA,Technology,Small,Organic Search,North America
C00173,Summit Systems,2024-09-28,Germany,Other,Medium,Paid Search,Europe
C00174,Nova Systems,2025-01-23,Canada,Technology,Medium,Paid Search,North America
C00175,Apex Labs,2024-05-25,USA,Technology,Small,Email Marketing,North America
C00176,Digital Group,2024-12-09,USA,Other,Medium,Paid Search,North America
C00177,Summit Systems,2025-03-15,Singapore,Education,Large,Email Marketing,APAC
C00178,Fusion Technologies,2025-07-24,India,Manufacturing,Small,Sales,APAC
C00179,Bright Software,2024-08-05,USA,Other,Large,Sales,North America
C00180,Prime Technologies,2025-11-19,India,Education,Medium,Paid Search,APAC
C00181,Apex Services,2024-03-02,Other,Marketing,Medium,Referral,Other
C00182,Digital Services,2025-08-02,UK,Technology,Large,Paid Search,Europe
C00183,Blue Technologies,2024-07-13,Other,Manufacturing,Large,Referral,Other
C00184,Bright Works,2024-05-03,India,Retail,Medium,Paid Social,APAC
C00185,Prime Networks,2024-11-11,USA,Marketing,Enterprise,Organic Search,North America
C00186,Bright Analytics,2024-11-18,USA,Education,Medium,Paid Search,North America
C00187,Core Services,2024-05-26,Germany,Retail,Small,Organic Search,Europe
C00188,Core Networks,2025-11-23,Canada,Education,Medium,Organic Search,North America
C00189,Nova Systems,2024-01-31,Germany,Technology,Small,Partner,Europe
C00190,Core Labs,2024-09-14,Germany,Finance,Small,Paid Search,Europe
C00191,Prime Group,2024-08-20,UK,Retail,Medium,Paid Social,Europe
C00192,Digital Works,2025-04-11,Australia,Finance,Enterprise,Paid Search,APAC
C00193,Cloud Group,2024-10-04,Other,Education,Small,Paid Search,Other
C00194,Nova Systems,2025-02-04,UK,Retail,Medium,Organic Search,Europe
C00195,Prime Networks,2024-08-14,UK,Healthcare,Small,Sales,Europe
C00196,Apex Software,2025-06-21,USA,Healthcare,Large,Organic Search,North America
C00197,Vertex Group,2024-09-27,Australia,Professional Services,Small,Organic Search,APAC
C00198,Blue Works,2025-04-03,USA,Other,Small,Paid Social,North America
C00199,Digital Group,2024-03-24,India,Retail,Enterprise,Paid Search,APAC
C00200,Nova Analytics,2025-06-10,Canada,Retail,Large,Partner,North America
C00201,Nova Systems,2024-02-29,USA,Manufacturing,Medium,Partner,North America
C00202,Prime Systems,2024-07-17,UK,Technology,Small,Email Marketing,Europe
C00203,Vertex Systems,2025-07-11,India,Technology,Medium,Referral,APAC
C00204,Blue Technologies,2025-06-04,USA,Finance,Small,Referral,North America
C00205,Nova Group,2024-12-09,India,Other,Small,Paid Social,APAC
C00206,Core Group,2025-06-27,UK,Professional Services,Enterprise,Sales,Europe
C00207,Bright Group,2025-11-21,USA,Retail,Enterprise,Organic Search,North America
C00208,Nova Labs,2024-04-01,Canada,Finance,Small,Paid Search,North America
C00209,Fusion Technologies,2025-08-11,USA,Healthcare,Small,Referral,North America
C00210,Prime Group,2024-05-22,USA,Technology,Small,Referral,North America
C00211,Next Analytics,2024-01-09,Other,Technology,Medium,Partner,Other
C00212,Core Systems,2025-11-20,UK,Professional Services,Medium,Paid Social,Europe
C00213,Apex Networks,2024-07-26,India,Manufacturing,Medium,Referral,APAC
C00214,Prime Networks,2024-01-14,USA,Technology,Small,Organic Search,North America
C00215,Summit Solutions,2024-05-26,Other,Retail,Small,Partner,Other
C00216,Core Solutions,2025-08-16,USA,Education,Small,Paid Social,North America
C00217,Cloud Works,2024-02-04,USA,Healthcare,Small,Sales,North America
C00218,Vertex Analytics,2024-06-07,India,Manufacturing,Medium,Partner,APAC
C00219,Vertex Technologies,2025-07-15,Germany,Finance,Small,Partner,Europe
C00220,Bright Solutions,2024-11-30,Singapore,Healthcare,Small,Referral,APAC
C00221,Vertex Software,2024-08-24,India,Manufacturing,Small,Partner,APAC
C00222,Apex Group,2024-10-24,USA,Other,Small,Sales,North America
C00223,Bright Labs,2025-01-15,India,Finance,Small,Referral,APAC
C00224,Next Systems,2024-01-28,USA,Education,Small,Partner,North America
C00225,Fusion Networks,2024-10-27,USA,Retail,Large,Paid Social,North America
C00226,Bright Systems,2024-12-26,India,Retail,Medium,Partner,APAC
C00227,Cloud Analytics,2024-10-10,USA,Professional Services,Medium,Paid Social,North America
C00228,Vertex Technologies,2025-07-09,India,Manufacturing,Medium,Paid Social,APAC
C00229,Summit Solutions,2024-11-29,USA,Finance,Large,Organic Search,North America
C00230,Digital Networks,2024-07-16,USA,Technology,Small,Referral,North America
C00231,Nova Services,2024-10-02,Other,Other,Small,Email Marketing,Other
C00232,Vertex Software,2024-02-08,India,Finance,Medium,Referral,APAC
C00233,Next Technologies,2025-01-18,USA,Technology,Large,Partner,North America
C00234,Bright Technologies,2024-12-06,USA,Education,Small,Sales,North America
C00235,Cloud Networks,2024-07-11,Germany,Marketing,Medium,Paid Social,Europe
C00236,Vertex Labs,2025-10-09,Germany,Professional Services,Small,Partner,Europe
C00237,Fusion Technologies,2024-01-01,USA,Education,Small,Referral,North America
C00238,Apex Systems,2025-07-28,Other,Healthcare,Large,Partner,Other
C00239,Nova Services,2025-09-01,India,Retail,Medium,Sales,APAC
C00240,Apex Works,2024-10-05,India,Manufacturing,Small,Paid Social,APAC
C00241,Apex Labs,2025-10-16,UK,Education,Medium,Paid Search,Europe
C00242,Next Networks,2024-10-31,India,Healthcare,Small,Referral,APAC
C00243,Fusion Services,2024-01-03,India,Other,Large,Sales,APAC
C00244,Core Software,2024-01-12,USA,Finance,Small,Paid Social,North America
C00245,Core Software,2024-11-21,Canada,Professional Services,Medium,Sales,North America
C00246,Vertex Works,2024-12-01,UK,Marketing,Small,Email Marketing,Europe
C00247,Vertex Solutions,2024-05-20,India,Technology,Medium,Paid Search,APAC
C00248,Vertex Networks,2025-10-09,USA,Education,Medium,Paid Search,North America
C00249,Summit Analytics,2024-12-10,India,Technology,Large,Partner,APAC
C00250,Summit Group,2024-08-28,UK,Retail,Enterprise,Paid Social,Europe
C00251,Bright Group,2025-01-19,India,Finance,Small,Organic Search,APAC
C00252,Fusion Services,2024-10-03,Singapore,Retail,Small,Referral,APAC
C00253,Vertex Technologies,2025-09-28,Singapore,Professional Services,Medium,Paid Search,APAC
C00254,Vertex Networks,2025-10-25,Germany,Healthcare,Medium,Organic Search,Europe
C00255,Summit Works,2025-03-14,UK,Technology,Medium,Sales,Europe
C00256,Fusion Services,2025-10-23,USA,Education,Medium,Paid Social,North America
C00257,Summit Works,2025-08-12,UK,Technology,Small,Paid Search,Europe
C00258,Summit Analytics,2025-10-19,India,Healthcare,Medium,Referral,APAC
C00259,Vertex Analytics,2025-11-30,Australia,Education,Small,Sales,APAC
C00260,Summit Systems,2024-12-18,UK,Healthcare,Small,Paid Search,Europe
C00261,Next Group,2025-07-14,Germany,Education,Small,Referral,Europe
C00262,Nova Software,2025-07-15,Canada,Retail,Medium,Organic Search,North America
C00263,Next Group,2024-06-20,UK,Finance,Medium,Paid Social,Europe
C00264,Fusion Services,2025-03-17,Other,Technology,Medium,Organic Search,Other
C00265,Summit Solutions,2024-02-24,Australia,Retail,Medium,Partner,APAC
C00266,Blue Systems,2024-04-13,USA,Professional Services,Medium,Organic Search,North America
C00267,Bright Systems,2025-02-09,USA,Professional Services,Small,Sales,North America
C00268,Blue Technologies,2025-05-23,USA,Retail,Small,Paid Search,North America
C00269,Summit Group,2025-03-24,USA,Healthcare,Small,Referral,North America
C00270,Digital Labs,2025-02-22,Australia,Finance,Medium,Paid Search,APAC
C00271,Bright Solutions,2024-02-11,India,Education,Medium,Paid Social,APAC
C00272,Nova Solutions,2024-01-07,USA,Technology,Small,Organic Search,North America
C00273,Bright Labs,2025-04-10,Other,Finance,Large,Referral,Other
C00274,Vertex Solutions,2024-06-12,UK,Technology,Large,Sales,Europe
C00275,Nova Systems,2025-04-27,India,Technology,Small,Organic Search,APAC
C00276,Digital Systems,2025-06-20,USA,Technology,Medium,Organic Search,North America
C00277,Nova Software,2025-10-19,USA,Manufacturing,Small,Organic Search,North America
C00278,Core Technologies,2025-04-11,India,Finance,Small,Organic Search,APAC
C00279,Blue Services,2024-09-09,UK,Retail,Small,Organic Search,Europe
C00280,Vertex Systems,2024-06-04,USA,Technology,Medium,Organic Search,North America
C00281,Vertex Group,2025-09-06,USA,Retail,Small,Organic Search,North America
C00282,Prime Software,2024-08-18,Canada,Manufacturing,Small,Referral,North America
C00283,Summit Technologies,2024-06-03,India,Manufacturing,Medium,Partner,APAC
C00284,Fusion Analytics,2025-07-27,India,Technology,Small,Partner,APAC
C00285,Blue Technologies,2025-02-26,UK,Retail,Large,Referral,Europe
C00286,Blue Systems,2024-06-21,USA,Healthcare,Small,Referral,North America
C00287,Nova Analytics,2024-07-01,USA,Technology,Large,Organic Search,North America
C00288,Cloud Services,2024-08-14,India,Healthcare,Medium,Partner,APAC
C00289,Cloud Networks,2024-07-10,Australia,Retail,Medium,Paid Social,APAC
C00290,Nova Analytics,2024-08-29,USA,Marketing,Medium,Referral,North America
C00291,Blue Labs,2024-07-18,USA,Marketing,Medium,Sales,North America
C00292,Prime Analytics,2024-03-27,Canada,Technology,Small,Partner,North America
C00293,Vertex Systems,2025-04-27,USA,Other,Medium,Paid Search,North America
C00294,Blue Group,2025-02-02,Other,Professional Services,Small,Paid Search,Other
C00295,Cloud Analytics,2024-12-17,USA,Healthcare,Small,Paid Social,North America
C00296,Vertex Services,2024-12-25,UK,Healthcare,Small,Organic Search,Europe
C00297,Vertex Analytics,2024-06-17,Other,Finance,Large,Paid Search,Other
C00298,Nova Networks,2025-01-08,India,Marketing,Medium,Referral,APAC
C00299,Digital Networks,2024-09-29,Other,Retail,Small,Paid Social,Other
C00300,Cloud Analytics,2025-09-17,Other,Retail,Small,Organic Search,Other
C00301,Nova Works,2024-05-01,Australia,Manufacturing,Large,Sales,APAC
C00302,Summit Group,2025-01-31,USA,Other,Medium,Referral,North America
C00303,Blue Systems,2025-10-23,Other,Marketing,Small,Organic Search,Other
C00304,Bright Works,2024-10-09,Other,Finance,Small,Paid Search,Other
C00305,Summit Services,2025-12-01,Canada,Education,Small,Organic Search,North America
C00306,Digital Works,2024-05-07,India,Technology,Medium,Sales,APAC
C00307,Core Services,2025-05-29,Other,Technology,Small,Sales,Other
C00308,Apex Systems,2024-01-10,Canada,Manufacturing,Medium,Referral,North America
C00309,Apex Technologies,2025-08-20,Germany,Manufacturing,Large,Organic Search,Europe
C00310,Next Solutions,2025-03-12,India,Retail,Small,Paid Search,APAC
C00311,Bright Solutions,2024-04-10,USA,Healthcare,Medium,Partner,North America
C00312,Bright Systems,2024-06-02,India,Healthcare,Medium,Organic Search,APAC
C00313,Prime Analytics,2024-07-06,Australia,Technology,Medium,Paid Social,APAC
C00314,Nova Solutions,2024-12-01,USA,Professional Services,Small,Paid Social,North America
C00315,Next Networks,2024-06-07,USA,Retail,Medium,Organic Search,North America
C00316,Summit Labs,2024-04-26,Australia,Finance,Small,Organic Search,APAC
C00317,Core Services,2024-07-01,USA,Healthcare,Small,Sales,North America
C00318,Core Group,2024-04-27,UK,Healthcare,Medium,Partner,Europe
C00319,Apex Systems,2025-07-12,Germany,Healthcare,Medium,Referral,Europe
C00320,Bright Group,2025-07-26,Other,Technology,Medium,Referral,Other
C00321,Blue Systems,2025-07-16,Other,Retail,Small,Sales,Other
C00322,Summit Software,2024-02-18,India,Marketing,Medium,Referral,APAC
C00323,Digital Services,2025-10-02,Australia,Technology,Small,Organic Search,APAC
C00324,Fusion Group,2025-06-26,Other,Finance,Small,Paid Search,Other
C00325,Bright Networks,2024-08-07,USA,Retail,Medium,Email Marketing,North America
C00326,Nova Networks,2024-07-23,USA,Technology,Large,Organic Search,North America
C00327,Nova Analytics,2025-03-16,USA,Retail,Medium,Organic Search,North America
C00328,Digital Analytics,2024-07-21,Other,Finance,Large,Organic Search,Other
C00329,Fusion Works,2024-05-21,Canada,Other,Small,Referral,North America
C00330,Apex Labs,2024-10-31,India,Other,Medium,Paid Search,APAC
C00331,Cloud Labs,2024-06-26,Canada,Healthcare,Small,Referral,North America
C00332,Bright Labs,2025-10-25,USA,Manufacturing,Medium,Organic Search,North America
C00333,Blue Technologies,2025-06-12,UK,Retail,Large,Paid Search,Europe
C00334,Summit Group,2024-01-22,Germany,Education,Medium,Paid Search,Europe
C00335,Prime Labs,2025-08-10,USA,Finance,Large,Paid Social,North America
C00336,Bright Analytics,2024-02-01,USA,Technology,Small,Partner,North America
C00337,Next Networks,2024-07-31,UK,Technology,Small,Email Marketing,Europe
C00338,Digital Labs,2024-01-26,UK,Finance,Small,Paid Search,Europe
C00339,Nova Solutions,2025-07-07,India,Technology,Medium,Sales,APAC
C00340,Apex Systems,2024-11-02,USA,Technology,Small,Paid Search,North America
C00341,Next Technologies,2025-04-29,UK,Manufacturing,Small,Sales,Europe
C00342,Prime Technologies,2025-07-07,India,Finance,Small,Referral,APAC
C00343,Digital Works,2024-02-09,India,Education,Small,Paid Search,APAC
C00344,Core Software,2024-09-16,Australia,Other,Large,Organic Search,APAC
C00345,Nova Systems,2024-01-16,Other,Finance,Small,Partner,Other
C00346,Prime Labs,2024-04-11,Other,Education,Small,Referral,Other
C00347,Digital Services,2024-07-14,Canada,Marketing,Small,Partner,North America
C00348,Nova Services,2025-01-06,Singapore,Technology,Medium,Email Marketing,APAC
C00349,Digital Analytics,2024-08-13,Australia,Marketing,Medium,Organic Search,APAC
C00350,Nova Networks,2024-08-05,USA,Retail,Small,Paid Search,North America
C00351,Core Solutions,2024-03-15,UK,Education,Small,Sales,Europe
C00352,Digital Software,2024-10-15,USA,Education,Small,Referral,North America
C00353,Prime Systems,2025-03-29,Germany,Retail,Large,Paid Search,Europe
C00354,Blue Works,2025-03-17,India,Retail,Small,Organic Search,APAC
C00355,Digital Technologies,2024-10-28,Australia,Marketing,Small,Sales,APAC
C00356,Next Group,2024-04-24,Singapore,Education,Medium,Organic Search,APAC
C00357,Core Systems,2024-05-21,Germany,Finance,Small,Email Marketing,Europe
C00358,Apex Solutions,2024-10-07,India,Technology,Enterprise,Organic Search,APAC
C00359,Summit Services,2025-09-13,Singapore,Professional Services,Large,Organic Search,APAC
C00360,Bright Works,2025-09-27,Germany,Retail,Large,Organic Search,Europe
C00361,Apex Works,2025-11-06,USA,Retail,Small,Paid Social,North America
C00362,Apex Group,2024-11-29,Canada,Technology,Large,Sales,North America
C00363,Digital Solutions,2025-09-23,USA,Technology,Small,Partner,North America
C00364,Blue Solutions,2025-07-29,Australia,Finance,Medium,Paid Search,APAC
C00365,Cloud Technologies,2025-11-14,USA,Technology,Large,Referral,North America
C00366,Digital Services,2025-04-24,UK,Finance,Small,Paid Search,Europe
C00367,Vertex Services,2025-10-20,Singapore,Healthcare,Medium,Referral,APAC
C00368,Digital Solutions,2025-10-30,UK,Education,Small,Organic Search,Europe
