subscription_id,customer_id,plan_id,start_date,end_date,billing_cycle,monthly_price,subscription_status
S000282,C00228,P01,2025-07-09,,Annual,29.0,Active
S000283,C00229,P02,2024-11-29,,Monthly,79.0,Active
S000284,C00229,P03,2025-11-09,,Annual,149.0,Active
S000285,C00230,P02,2024-07-16,,Monthly,79.0,Active
S000286,C00231,P02,2024-10-02,,Annual,79.0,Active
S000287,C00232,P02,2024-02-08,,Annual,79.0,Active
S000288,C00232,P03,2024-08-07,,Annual,149.0,Active
S000289,C00233,P03,2025-01-18,,Monthly,149.0,Active
S000290,C00234,P02,2024-12-06,,Monthly,79.0,Active
S000291,C00235,P01,2024-07-11,,Monthly,29.0,Active
S000292,C00236,P01,2025-10-09,,Monthly,29.0,Active
S000293,C00237,P02,2024-01-01,,Annual,79.0,Active
S000294,C00238,P03,2025-07-28,,Monthly,149.0,Active
S000295,C00239,P02,2025-09-01,2025-12-09,Monthly,79.0,Cancelled
S000296,C00240,P03,2024-10-05,2024-12-15,Monthly,149.0,Cancelled
S000297,C00241,P01,2025-10-16,2025-12-21,Annual,29.0,Cancelled
S000298,C00242,P01,2024-10-31,,Monthly,29.0,Active
S000299,C00243,P02,2024-01-03,2024-07-07,Monthly,79.0,Cancelled
S000300,C00244,P02,2024-01-12,,Monthly,79.0,Active
S000301,C00245,P04,2024-11-21,,Annual,399.0,Active
S000302,C00246,P01,2024-12-01,,Annual,29.0,Active
S000303,C00247,P01,2024-05-20,2025-02-20,Annual,29.0,Cancelled
S000304,C00248,P02,2025-10-09,,Monthly,79.0,Active
S000305,C00249,P02,2024-12-10,,Annual,79.0,Active
S000306,C00249,P03,2025-09-30,,Monthly,149.0,Active
S000307,C00250,P03,2024-08-28,2025-04-02,Monthly,149.0,Cancelled
S000308,C00250,P04,2025-04-02,2025-07-25,Monthly,399.0,Cancelled
S000309,C00251,P01,2025-01-19,2025-11-10,Monthly,29.0,Cancelled
S000310,C00252,P03,2024-10-03,,Annual,149.0,Active
S000311,C00253,P02,2025-09-28,,Monthly,79.0,Active
S000312,C00254,P02,2025-10-25,,Annual,79.0,Active
S000313,C00255,P02,2025-03-14,2025-09-24,Monthly,79.0,Cancelled
S000314,C00256,P03,2025-10-23,,Monthly,149.0,Active
S000315,C00257,P01,2025-08-12,,Monthly,29.0,Active
S000316,C00258,P03,2025-10-19,,Monthly,149.0,Active
S000317,C00259,P03,2025-11-30,,Monthly,149.0,Active
S000318,C00260,P02,2024-12-18,2025-07-29,Monthly,79.0,Cancelled
S000319,C00260,P03,2025-07-29,2025-12-22,Monthly,149.0,Cancelled
S000320,C00261,P03,2025-07-14,,Monthly,149.0,Active
S000321,C00262,P02,2025-07-15,,Monthly,79.0,Active
S000322,C00263,P02,2024-06-20,2024-10-08,Monthly,79.0,Cancelled
S000323,C00264,P03,2025-03-17,,Annual,149.0,Active
S000324,C00264,P02,2025-11-05,,Monthly,79.0,Active
S000325,C00265,P02,2024-02-24,2025-07-22,Annual,79.0,Cancelled
S000326,C00266,P01,2024-04-13,,Monthly,29.0,Active
S000327,C00267,P03,2025-02-09,,Monthly,149.0,Active
S000328,C00268,P01,2025-05-23,,Monthly,29.0,Active
S000329,C00268,P02,2025-09-22,,Monthly,79.0,Active
S000330,C00269,P02,2025-03-24,2025-06-28,Monthly,79.0,Cancelled
S000331,C00270,P01,2025-02-22,,Monthly,29.0,Active
S000332,C00271,P03,2024-02-11,,Monthly,149.0,Active
S000333,C00272,P02,2024-01-07,2024-10-26,Monthly,79.0,Cancelled
S000334,C00272,P03,2024-10-26,2025-05-15,Monthly,149.0,Cancelled
S000335,C00273,P03,2025-04-10,,Annual,149.0,Active
S000336,C00273,P04,2025-10-18,,Annual,399.0,Active
S000337,C00274,P04,2024-06-12,,Monthly,399.0,Active
S000338,C00274,P04,2025-06-07,,Monthly,399.0,Active
S000339,C00274,P04,2025-10-07,,Monthly,399.0,Active
S000340,C00275,P02,2025-04-27,,Annual,79.0,Active
S000341,C00275,P01,2025-11-09,,Monthly,29.0,Active
S000342,C00276,P03,2025-06-20,2025-08-30,Monthly,149.0,Cancelled
S000343,C00277,P01,2025-10-19,,Monthly,29.0,Active
S000344,C00278,P02,2025-04-11,,Annual,79.0,Active
S000345,C00278,P03,2025-11-11,,Annual,149.0,Active
S000346,C00279,P02,2024-09-09,,Monthly,79.0,Active
S000347,C00280,P04,2024-06-04,,Monthly,399.0,Active
S000348,C00281,P02,2025-09-06,,Monthly,79.0,Active
S000349,C00282,P03,2024-08-18,,Monthly,149.0,Active
S000350,C00283,P01,2024-06-03,,Annual,29.0,Active
S000351,C00284,P04,2025-07-27,,Monthly,399.0,Active
S000352,C00285,P02,2025-02-26,,Annual,79.0,Active
S000353,C00286,P02,2024-06-21,,Monthly,79.0,Active
S000354,C00287,P02,2024-07-01,,Annual,79.0,Active
S000355,C00288,P02,2024-08-14,,Annual,79.0,Active
S000356,C00289,P04,2024-07-10,,Monthly,399.0,Active
S000357,C00290,P04,2024-08-29,,Annual,399.0,Active
S000358,C00291,P03,2024-07-18,,Monthly,149.0,Active
S000359,C00292,P01,2024-03-27,,Monthly,29.0,Active
S000360,C00292,P02,2025-10-27,,Monthly,79.0,Active
S000361,C00293,P01,2025-04-27,,Annual,29.0,Active
S000362,C00294,P02,2025-02-02,,Monthly,79.0,Active
S000363,C00295,P02,2024-12-17,2025-12-30,Monthly,79.0,Cancelled
S000364,C00296,P02,2024-12-25,,Monthly,79.0,Active
S000365,C00297,P03,2024-06-17,,Monthly,149.0,Active
S000366,C00298,P02,2025-01-08,,Monthly,79.0,Active
S000367,C00298,P01,2025-05-25,,Annual,29.0,Active
S000368,C00299,P02,2024-09-29,,Annual,79.0,Active
S000369,C00300,P01,2025-09-17,,Annual,29.0,Active
S000370,C00301,P03,2024-05-01,,Monthly,149.0,Active
S000371,C00302,P03,2025-01-31,,Monthly,149.0,Active
S000372,C00303,P02,2025-10-23,,Monthly,79.0,Active
S000373,C00304,P03,2024-10-09,,Monthly,149.0,Active
S000374,C00305,P03,2025-12-01,,Annual,149.0,Active
S000375,C00306,P01,2024-05-07,,Monthly,29.0,Active
S000376,C00306,P02,2025-09-29,,Monthly,79.0,Active
S000377,C00307,P01,2025-05-29,2025-12-21,Monthly,29.0,Cancelled
S000378,C00308,P03,2024-01-10,,Monthly,149.0,Active
S000379,C00308,P02,2024-06-01,,Monthly,79.0,Active
S000380,C00309,P03,2025-08-20,2025-11-28,Annual,149.0,Cancelled
S000381,C00310,P01,2025-03-12,,Monthly,29.0,Active
S000382,C00310,P02,2025-11-11,,Monthly,79.0,Active
S000383,C00311,P02,2024-04-10,2025-10-10,Monthly,79.0,Cancelled
S000384,C00312,P02,2024-06-02,,Monthly,79.0,Active
S000385,C00313,P03,2024-07-06,,Monthly,149.0,Active
S000386,C00313,P04,2025-05-29,,Monthly,399.0,Active
S000387,C00314,P01,2024-12-01,,Monthly,29.0,Active
S000388,C00315,P04,2024-06-07,,Monthly,399.0,Active
S000389,C00315,P04,2025-01-09,,Monthly,399.0,Active
S000390,C00316,P01,2024-04-26,,Monthly,29.0,Active
S000391,C00317,P04,2024-07-01,,Monthly,399.0,Active
S000392,C00318,P01,2024-04-27,,Monthly,29.0,Active
S000393,C00319,P01,2025-07-12,,Annual,29.0,Active
S000394,C00320,P02,2025-07-26,,Annual,79.0,Active
S000395,C00321,P01,2025-07-16,,Annual,29.0,Active
S000396,C00322,P02,2024-02-18,,Monthly,79.0,Active
S000397,C00322,P01,2024-06-27,,Monthly,29.0,Active
S000398,C00322,P02,2024-10-16,,Annual,79.0,Active
S000399,C00323,P02,2025-10-02,,Monthly,79.0,Active
S000400,C00324,P02,2025-06-26,,Monthly,79.0,Active
S000401,C00325,P01,2024-08-07,,Monthly,29.0,Active
S000402,C00326,P02,2024-07-23,,Monthly,79.0,Active
S000403,C00327,P01,2025-03-16,2025-12-06,Monthly,29.0,Cancelled
S000404,C00328,P02,2024-07-21,,Annual,79.0,Active
S000405,C00329,P04,2024-05-21,,Monthly,399.0,Active
S000406,C00330,P02,2024-10-31,2025-03-19,Monthly,79.0,Cancelled
S000407,C00330,P01,2025-03-19,2025-05-16,Annual,29.0,Cancelled
S000408,C00331,P03,2024-06-26,,Monthly,149.0,Active
S000409,C00332,P01,2025-10-25,2025-12-25,Monthly,29.0,Cancelled
S000410,C00333,P03,2025-06-12,2025-11-14,Annual,149.0,Cancelled
S000411,C00334,P02,2024-01-22,,Annual,79.0,Active
S000412,C00335,P04,2025-08-10,,Monthly,399.0,Active
S000413,C00336,P02,2024-02-01,,Monthly,79.0,Active
S000414,C00337,P03,2024-07-31,,Monthly,149.0,Active
S000415,C00338,P02,2024-01-26,,Monthly,79.0,Active
S000416,C00339,P03,2025-07-07,,Monthly,149.0,Active
S000417,C00340,P01,2024-11-02,,Monthly,29.0,Active
S000418,C00341,P01,2025-04-29,,Monthly,29.0,Active
S000419,C00342,P02,2025-07-07,2025-12-26,Monthly,79.0,Cancelled
S000420,C00343,P01,2024-02-09,,Annual,29.0,Active
S000421,C00344,P02,2024-09-16,2025-01-31,Monthly,79.0,Cancelled
S000422,C00345,P03,2024-01-16,,Monthly,149.0,Active
S000423,C00346,P01,2024-04-11,,Monthly,29.0,Active
S000424,C00347,P01,2024-07-14,,Monthly,29.0,Active
S000425,C00348,P01,2025-01-06,,Monthly,29.0,Active
S000426,C00349,P01,2024-08-13,,Monthly,29.0,Active
S000427,C00350,P01,2024-08-05,,Monthly,29.0,Active
S000428,C00351,P01,2024-03-15,,Annual,29.0,Active
S000429,C00352,P02,2024-10-15,,Monthly,79.0,Active
S000430,C00353,P02,2025-03-29,,Monthly,79.0,Active
S000431,C00354,P02,2025-03-17,,Annual,79.0,Active
S000432,C00355,P01,2024-10-28,,Monthly,29.0,Active
S000433,C00356,P01,2024-04-24,2025-09-11,Monthly,29.0,Cancelled
